"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","","","",""
"LAND ARC
520","Dept. Total","311","3.278","32.2","23.5","18.0","11.9","7.7","",".","1.0","4.8","",".",".","",".","",".","1.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.063","16.7","27.8","16.7","27.8","11.1","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","53","3.198","34.0","18.9","17.0","15.1","13.2","",".","1.9",".","",".",".","",".","",".",".",".",".","."
"Junior","","52","3.343","36.5","25.0","15.4","13.5","9.6","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","121","3.178","23.1","26.4","25.6","12.4","8.3","",".","1.7","0.8","",".",".","",".","",".","1.7",".",".","."
"Undergraduates","","244","3.209","27.9","24.6","20.9","14.3","9.8","",".","1.2","0.4","",".",".","",".","",".","0.8",".",".","."
"Special","","11","3.295","18.2","18.2","27.3","9.1",".","",".",".","27.3","",".",".","",".","",".",".",".",".","."
"Graduate","","56","3.768","53.6","19.6","3.6","1.8",".","",".",".","19.6","",".",".","",".","",".","1.8",".",".","."
"","Dept. Total","311","3.278","32.2","23.5","18.0","11.9","7.7","",".","1.0","4.8","",".",".","",".","",".","1.0",".",".","."
