"LINGUISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","",""
"Human Language","101
001","161","2.755","27.3","9.3","27.3","6.8","11.2","8.7","8.1","1.2",".",".",".",".",".",".",".","."
"Language, History, and Society","103
001","11","3.278","18.2","36.4","9.1","9.1","9.1",".",".","18.2",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","47","3.120","40.4","12.8","17.0","6.4","12.8","6.4","2.1","2.1",".",".",".",".",".",".",".","."
"Language, History, and Society","303
001","19","3.444","26.3","52.6",".","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Grammatcl Variablty-Languag","309
001","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Morphology","322
001","22","3.364","54.5","4.5","22.7","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Syntax","330
001","18","3.188","27.8","27.8",".","16.7","16.7",".",".","11.1",".",".",".",".",".",".",".","."
"Semantics","340
001","19","3.079","31.6","21.1","21.1","5.3","10.5","10.5",".",".",".",".",".",".",".",".",".","."
"Field Methods I","426
001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Tutorial","482
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phonological Theories","510
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syntactic Theories","530
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Seminar","977
001","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","11","",".",".",".",".",".",".",".","81.8","9.1",".",".","9.1",".",".",".","."
"Independent Reading","999
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LINGUIS
550","Dept. Total","356","3.072","34.6","16.3","18.5","6.2","9.3","5.6","3.9","4.8","0.3",".",".","0.3","0.3",".",".","."
