"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101
001","","44","3.789","75.0",".","13.6",".",".",".","2.3","6.8","2.3",".",".",".",".",".",".","."
"Environmental Geology","106
001","","41","2.725","14.6","4.9","34.1","14.6","24.4","2.4","2.4",".",".",".",".",".",".","2.4",".","."
"Envir St-Social Perspective","112
001","","201","3.763","66.7","23.9","5.0","1.0","1.5",".","0.5","1.5",".",".",".",".",".",".",".","."
"","120
001","","43","2.709","9.3","14.0","27.9","30.2","9.3","7.0","2.3",".",".",".",".",".",".",".",".","."
"","120
002","","48","2.854","6.3","20.8","33.3","33.3","2.1",".","4.2",".",".",".",".",".",".",".",".","."
"Global Phys Environments","Course Total","","91","2.786","7.7","17.6","30.8","31.9","5.5","3.3","3.3",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126
001","","38","3.671","50.0","34.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","127
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","127
002","","17","2.588","11.8","17.6","23.5","17.6","17.6",".","11.8",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","Course Total","","21","2.667","14.3","14.3","28.6","14.3","19.0",".","9.5",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171
001","","26","3.442","26.9","42.3","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","","9","3.278","33.3","11.1","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302
001","","6","3.500","50.0",".","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","339
001","","43","2.709","11.6","7.0","44.2","9.3","20.9","2.3","4.7",".",".",".",".",".",".",".",".","."
"","002
339","","55","2.913","10.9","12.7","45.5","10.9","10.9","1.8","1.8","5.5",".",".",".",".",".",".",".","."
"Environmental Conservation","Course Total","","98","2.821","11.2","10.2","44.9","10.2","15.3","2.0","3.1","3.1",".",".",".",".",".",".",".","."
"Environment&Global Economy","344
001","","28","2.714","3.6","28.6","21.4","14.3","25.0","7.1",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361
001","","36","3.000","16.7","19.4","30.6","19.4","8.3",".","2.8","2.8",".",".",".",".",".",".",".","."
"Envr Law, Toxic Subst&Consv","368
001","","73","2.852","12.3","15.1","30.1","19.2","17.8","1.4","1.4","2.7",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","","17","3.219","17.6","23.5","35.3","17.6",".",".",".",".","5.9",".",".",".",".",".",".","."
"","400
003","","14","3.429","50.0","28.6","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","400
004","","10","3.550","80.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","400
005","","17","2.441","17.6","11.8","5.9","17.6","29.4","11.8","5.9",".",".",".",".",".",".",".",".","."
"","400
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
007","","7","2.929","14.3","14.3","57.1",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","400
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","Course Total","","88","3.197","44.3","15.9","15.9","6.8","8.0","4.5","3.4",".","1.1",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Orthophotography","405
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Ethics","441
001","","26","3.480","42.3","19.2","26.9","3.8","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Environmental Sys Concepts","461
001","","13","3.500","23.1","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Intro-Environmental Health","471
001","","46","3.522","37.0","34.8","19.6","6.5",".",".",".","2.2",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes Lab","511
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Resources Policy","515
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
