"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Cropping Systems","001","","15","3.167","26.7","13.3","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","9","3.563","44.4","22.2","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","8","3.211","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","6","3.571","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","26","3.452","34.6","23.1","42.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"377
Cropping Systems-Tropics","001","","22","3.524","40.9","36.4","4.5","9.1","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","699","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920
Seminar","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","27","",".",".",".",".",".",".",".","96.3",".",".",".",".",".",".","3.7","."
