"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","330","2.619","12.1","11.2","28.5","8.2","29.4","7.9","2.1","0.6",".",".",".",".",".",".",".","."
"","101
002","423","2.631","13.2","6.6","29.6","13.2","30.7","3.8","2.8",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","753","2.626","12.7","8.6","29.1","11.0","30.1","5.6","2.5","0.3",".",".",".",".",".",".",".","."
"","102
001","19","3.237","5.3","52.6","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","102
002","27","3.444","29.6","37.0","29.6",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","102
003","23","3.478","34.8","34.8","26.1",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
004","25","3.620","56.0","24.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","102
005","26","3.500","38.5","30.8","26.9",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","102
006","24","3.708","54.2","41.7",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","102
007","27","3.833","70.4","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","27","3.407","29.6","29.6","33.3","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","26","3.365","19.2","34.6","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","28","3.339","50.0","14.3","17.9","10.7",".","3.6","3.6",".",".",".",".",".",".",".",".","."
"","102
011","16","3.594","56.3","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
012","27","3.519","37.0","37.0","22.2",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","102
013","24","3.729","62.5","20.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","27","3.296","22.2","25.9","44.4","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"","102
015","27","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","28","3.304","25.0","39.3","28.6",".","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","102
017","28","3.304","25.0","21.4","42.9","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","25","3.740","52.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
019","26","3.558","61.5","15.4","15.4","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"","102
020","27","3.389","22.2","40.7","29.6","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
021","25","3.300","16.0","32.0","48.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
022","23","3.457","34.8","26.1","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","555","3.496","40.0","29.7","24.9","2.9","1.8","0.2","0.5",".",".",".",".",".",".",".",".","."
"Introductory Biology","001
151","251","3.092","20.7","15.5","44.2","6.0","11.2","2.0","0.4",".",".",".",".",".",".",".",".","."
"","152
001","205","3.205","38.0","8.8","33.2","6.8","8.8","3.4","1.0",".",".",".",".",".",".",".",".","."
"","002
152","183","2.842","13.1","13.7","39.9","10.4","16.9","4.4","1.6",".",".",".",".",".",".",".",".","."
"","152
003","188","3.154","26.1","12.8","41.5","8.5","9.6","1.6",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","576","3.073","26.2","11.6","38.0","8.5","11.6","3.1","0.9",".",".",".",".",".",".",".",".","."
"Biology and Society","220
001","34","3.574","50.0","32.4","14.7",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","55","2.673","21.8","7.3","14.5","18.2","29.1","7.3","1.8",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","22","3.500","50.0","22.7","18.2","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","125","2.873","14.4","12.8","42.4","4.0","18.4","4.0","1.6","2.4",".",".",".",".",".",".",".","."
"Parasitology","350
001","89","2.949","25.8","5.6","37.1","6.7","20.2","3.4","1.1",".",".",".",".",".",".",".",".","."
"Parasitology Laboratory","351
001","12","3.417","41.7","16.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","380
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","380
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Proseminar","Course Total","2","***","","","","","","","","","","","","","","","",""
"Evolutionary Biology","410
001","156","2.591","17.9","7.1","25.0","10.9","22.4","12.2","3.2",".",".",".",".",".",".","1.3",".","."
"Midwest Ecol Iss: Case Study","450
001","54","3.120","31.5","18.5","22.2","13.0","9.3","3.7","1.9",".",".",".",".",".",".",".",".","."
"General Ecology","460
001","38","3.197","31.6","13.2","28.9","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466
001","66","2.633","12.1","13.6","18.2","24.2","19.7","4.5","4.5","1.5",".",".",".",".",".",".","1.5","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 324 of 407",""
