"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"","999
012","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
013","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Work","Course Total","5","***","","","","","","","","","","","","","","","","","",""
"URB R PL
944","Dept. Total","321","3.623","57.0","23.7","8.1","2.2","2.8","0.6","0.3","3.4","0.3",".","",".","",".","0.6",".","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","2.971",".","20.0","50.0","10.0","10.0",".",".","10.0",".",".","",".","",".",".",".",".","."
"Junior","","22","3.185","31.8","13.6","18.2","9.1","18.2",".",".","4.5",".",".","",".","",".","4.5",".",".","."
"Senior","","46","3.127","28.3","21.7","19.6","8.7","8.7","2.2","2.2","6.5",".",".","",".","",".","2.2",".",".","."
"Undergraduates","","78","3.122","25.6","19.2","23.1","9.0","11.5","1.3","1.3","6.4",".",".","",".","",".","2.6",".",".","."
"Special","","15","3.692","46.7","40.0","6.7",".",".",".",".","6.7",".",".","",".","",".",".",".",".","."
"Graduate","","228","3.820","68.4","24.1","3.1",".",".","0.4",".","2.2","0.4",".","",".","",".",".",".","1.3","."
"","Dept. Total","321","3.623","57.0","23.7","8.1","2.2","2.8","0.6","0.3","3.4","0.3",".","",".","",".","0.6",".","0.9","."
