"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"554
Advanced Glassworking","001","","14","3.338","7.1","57.1","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"556
Adv Graphic Design Technlgy","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"576
Advanced Photography","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"608
Interdis Critiq-Visual Arts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"612
Advanced Drawing II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614
Advanced Sculpture II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"618
Advanced Artists' Video","001","","9","3.278","44.4","33.3","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"622","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","002","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting II","Course Total","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"624","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"624","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics II","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"632
Advanced Life Drawing II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"644
Advanced Art Metal II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Design Portfolio & Prof Pract","001","","24","3.521","41.7","25.0","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","9","3.325","66.7","11.1",".",".",".",".","11.1",".",".",".",".",".",".","11.1",".","."
"699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","096","","8","3.950","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","105","3.780","80.0","8.6","3.8",".",".",".","2.9",".",".",".",".",".","2.9","1.0","1.0","."
"718
Art Performance","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 74 of 407"
