"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","86","3.741","69.8","15.1","8.1","3.5","2.3",".",".","1.2",".",".",".",".",".",".",".","."
"","300
002","97","3.232","16.5","50.5","16.5","8.2","4.1","2.1","2.1",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","183","3.470","41.5","33.9","12.6","6.0","3.3","1.1","1.1","0.5",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","330
001","22","3.636","63.6","27.3","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Families-Individs w/ Disabils","450
001","24","3.771","79.2",".","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Indiv/Learn & Behav Disability","470
001","35","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","472
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
002","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
003","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Diagnosis&Assessmt:Lrn&Bhv","Course Total","32","3.968","90.6","6.3",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","475
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
002","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","23","3.955","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Psych-Medical Aspects","550
001","20","3.550","25.0","60.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
019","37","3.908","94.6","2.7",".",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","38","3.910","94.7","2.6",".",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Special Topics","660
010","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","690
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Career Couns & Job Placemnt","725
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec St-Indiv w/Disablties","802
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues-Special Educ","803
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnslg Psy-Theor & Iss","820
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnslg Psych-Grp Proc","840
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","860
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","860
002","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","860
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 78 of 407"
