"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"MED","College Total","8307","3.514","45.3","21.1","15.1","3.5","2.7","0.9","0.4","8.2","0.0","2.1",".","0.5","0.1","0.0","0.0","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","21","3.063","42.9","9.5","9.5","19.0","4.8","14.3",".",".",".",".",".",".",".",".",".","."
"Sophomore","","283","2.851","30.4","12.7","18.4","11.3","17.0","7.1","2.8",".",".",".",".",".","0.4",".",".","."
"Junior","","728","3.109","38.9","13.2","23.8","9.3","8.8","3.8","2.1",".",".",".",".",".",".","0.1",".","."
"Senior","","1804","3.470","51.7","18.2","18.1","4.7","4.3","1.2","0.6","0.7","0.1","0.3",".",".","0.1","0.1",".","0.1"
"Undergraduates","","2836","3.303","46.2","16.3","19.5","6.7","6.7","2.5","1.2","0.5","0.0","0.2",".",".","0.1","0.1",".","0.0"
"Special","","119","3.483","46.2","16.0","13.4","5.9","2.5","1.7",".","10.1",".",".",".",".","1.7","0.8","1.7","."
"Graduate","","1564","3.656","38.4","13.2","6.6","1.5","0.5","0.1",".","36.2","0.1","1.2",".","2.2","0.1",".","0.1","."
"Prof Yr 1","","1113","3.613","41.0","27.7","18.2","3.4","0.7","0.2",".","0.3",".","8.4",".",".",".",".",".","."
"Prof Yr 2","","1356","3.680","55.8","22.1","15.2","1.9","0.9",".",".","0.6",".","3.4",".",".","0.1",".",".","."
"Prof Yr 3","","677","3.548","35.5","43.1","16.0","0.6","0.1",".",".","2.8",".","0.7",".","0.9","0.1",".",".","0.1"
"Prof Yr 4","","656","3.714","55.0","24.8","10.2","0.2","0.2",".",".","9.5",".","0.2",".",".",".",".",".","."
"Professionals","","3802","3.628","47.7","28.0","15.4","1.8","0.6","0.1",".","2.4",".","3.8",".","0.2","0.1",".",".","0.0"
"","College Total","8321","3.514","45.4","21.0","15.1","3.5","2.7","0.9","0.4","8.2","0.0","2.1",".","0.5","0.1","0.0","0.0","0.0"
