"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Literacy Across the Curriculum","503
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literacy Assessmnt&Interventn","504
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001","82","3.902","84.1","12.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrctnl Computn-Schools I","514
001","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Religion and Public Education","516
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","537
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","537
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","537
003","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Teaching Diverse Learners","Course Total","72","4.000","98.6",".",".",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Org&Adm-School Hlth Progms","541
001","45","3.956","91.1","8.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Alcohol & Drugs","542
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teach Soc Studies","559
001","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prob-Tchg Foreign Lang","564
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","14","3.714","78.6","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Dsgn&Prod Elec Instr Matrls","603
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrctnl Comptn-Schools II","614
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","626
001","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","626
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","626
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","626
004","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Action Research in Schools","Course Total","48","3.968","95.8",".",".","2.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"Early Childhood Education","660
001","30","3.793","66.7","23.3","3.3","3.3",".",".",".",".",".",".",".",".","3.3",".",".","."
"Elem School Curriculum","662
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in ESL Education","672
001","13","3.615","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","675
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","22","3.647","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
005","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
010","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","109","3.895","95.4",".","3.7",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"","690
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
052","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 86 of 407"
