"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1403","3.101","27.8","17.5","21.0","13.8","8.8","2.5","1.7","5.2","",".","0.6","",".","0.1","0.5","0.1","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","126","2.599","7.9","14.3","22.2","31.7","11.9","7.1","4.8",".","",".",".","",".",".",".",".",".","."
"Sophomore","","271","2.981","19.6","18.8","29.2","17.7","10.3","2.2","2.2",".","",".",".","",".",".",".",".",".","."
"Junior","","345","2.973","18.8","20.3","28.4","15.9","11.0","2.6","2.0","0.3","",".","0.3","",".",".",".",".","0.3","."
"Senior","","420","3.175","31.2","20.0","19.3","11.4","9.5","2.6","1.0","4.3","",".","0.2","",".",".","0.5",".",".","."
"Undergraduates","","1162","3.004","22.3","19.2","24.6","16.4","10.4","3.0","2.0","1.6","",".","0.2","",".",".","0.2",".","0.1","."
"Special","","53","3.701","58.5","7.5","7.5","1.9","1.9",".","1.9","9.4","",".","11.3","",".",".",".",".",".","."
"Graduate","","188","3.843","53.2","10.1","2.1","1.1","0.5",".",".","26.1","",".",".","",".","1.1","2.7","0.5","2.7","."
"","Dept. Total","1403","3.101","27.8","17.5","21.0","13.8","8.8","2.5","1.7","5.2","",".","0.6","",".","0.1","0.5","0.1","0.4","."
