"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"600
Acct Internshp & Prac Rsch","001","","68","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Pro Prac Iss-Acct & Auditng","001","","67","3.575","43.3","28.4","28.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"603","001","","33","3.552","33.3","30.3","24.2",".",".",".",".","12.1",".",".",".",".",".",".",".","."
"603","002","","22","3.684","40.9","36.4","9.1",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","","55","3.604","36.4","32.7","18.2",".",".",".",".","12.7",".",".",".",".",".",".",".","."
"620","001","","36","3.200","11.1","30.6","41.7","13.9",".",".",".","2.8",".",".",".",".",".",".",".","."
"620","002","","33","3.303","27.3","24.2","30.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","69","3.250","18.8","27.5","36.2","15.9",".",".",".","1.4",".",".",".",".",".",".",".","."
"630
Audit and Assurance Services","001","","41","3.064","24.4","24.4","22.0","12.2","2.4","7.3","2.4","4.9",".",".",".",".",".",".",".","."
"702","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","2","***","","","","","","","","","","","","","","","",""
"706
Adv Financial Reporting","001","","23","3.696","69.6",".","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Managerial Accounting","002","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Taxation of Pass-Thru Entities","001","","20","2.875","15.0","10.0","35.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"723
Federal Estate&Gift Taxatn","001","","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","001","","27","3.667","37.0","59.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","002","","27","3.704","44.4","51.9","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Informatn Consulting","Course Total","","54","3.685","40.7","55.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"765
Contemporary Topics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Strateg Cost Mgmt&Perf Measrmt","001","","20","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Reading&Research-Accounting","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","4","***","","","","","","","","","","","","","","","",""
