"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","19","3.059",".","31.6","36.8","21.1",".",".",".","10.5",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","180","3.674","56.1","21.7","12.2","3.3","0.6","0.6",".","5.6",".",".",".",".",".",".",".","."
"","199","007","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","020","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","38","3.989","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","24","3.375","50.0","20.8","16.7","4.2",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","99","2.781","21.2","18.2","18.2","14.1","9.1","13.1","3.0","3.0",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","38","3.432","50.0","21.1","13.2","5.3","2.6","2.6","2.6","2.6",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","16","3.188","31.3","31.3","18.8","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","24","3.091","8.3","41.7","20.8","8.3","8.3","4.2",".","8.3",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","24","3.396","54.2","4.2","29.2",".","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"African-Am Mus-Hist Perspectv","316","001","13","2.833",".","23.1","38.5","7.7","23.1",".",".","7.7",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","366","001","56","3.188","21.4","17.9","46.4","8.9","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"Women's Intl Human Rights","424","001","8","3.643","50.0","25.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".","."
"Discrimntn&Prejudice-Am Soc","442","001","48","3.302","31.3","22.9","29.2","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443","001","18","2.917",".","33.3","27.8","27.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"Slavery in the Amer South","467","001","21","3.167","28.6","28.6","19.0","14.3",".","9.5",".",".",".",".",".",".",".",".",".","."
"African American Families","521","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"History of African-Amer Educ","567","001","21","3.300","28.6","38.1","9.5","9.5","4.8","4.8",".",".",".",".",".",".",".","4.8",".","."
"Blacks in Cities","577","001","13","2.923","30.8","7.7","23.1","7.7","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"The Harlem Renaissance","602","001","26","3.348","38.5","15.4","26.9",".","3.8",".","3.8","11.5",".",".",".",".",".",".",".","."
"Afr Am Women's Activism 19-20C","624","001","11","3.409","36.4","18.2","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","675","001","34","3.288","44.1","8.8","26.5","5.9","8.8",".","2.9","2.9",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","10","3.750","30.0","30.0",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Visual Cultr, Gender&Race Thry","679","001","15","3.250","33.3","33.3","13.3",".",".","13.3",".",".",".",".",".",".","6.7",".",".","."
"","692","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","790","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
