"ECONOMICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Energy Economics","671
001","","10","3.100","30.0","20.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.926","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutional Economics","707
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710
001","","58","3.176","8.6","24.1","55.2","8.6",".",".",".",".",".",".",".",".",".",".","3.4","."
"","713
001","","42","2.988","16.7","4.8","45.2","21.4","9.5",".",".",".",".",".",".",".",".",".","2.4","."
"","713
002","","19","2.868","15.8",".","57.9","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","Course Total","","61","2.950","16.4","3.3","49.2","19.7","8.2",".","1.6",".",".",".",".",".",".",".","1.6","."
"","714
001","","21","3.333","19.0","28.6","52.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714
002","","25","3.160","20.0","32.0","28.0","16.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","Course Total","","46","3.239","19.6","30.4","39.1","8.7",".",".","2.2",".",".",".",".",".",".",".",".","."
"Topics-Applied Econometrics","718
001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","742
001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751
001","","11","3.455","36.4","18.2","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762
001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Microecon Theory","809
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","871
001","","12","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914
001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956
001","","13","",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","966
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop - Public Economics","969
001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","978
001","","20","",".",".",".",".",".",".",".","85.0","15.0",".",".",".",".",".",".","."
"","990
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Independent Work","999
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
