"PORTUGUESE (SPANISH & POR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","21","2.625","14.3","9.5","33.3","4.8","23.8",".","9.5",".",".",".",".",".",".","4.8",".","."
"","102","002","","19","3.000","26.3","21.1","21.1","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".","."
"","102","003","","16","3.156","37.5",".","50.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","102","004","","23","3.022","34.8","17.4","17.4","4.3","13.0","13.0",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","","Course Total","","79","2.942","27.8","12.7","29.1","6.3","12.7","6.3","3.8",".",".",".",".",".",".","1.3",".","."
"4th Semester Portuguese","202","001","","15","3.567","60.0","20.0","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Portuguese for Business","207","001","","14","3.536","64.3","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","226","001","","10","3.500","50.0","10.0","20.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","","Course Total","","11","3.500","45.5","18.2","18.2",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Intensive Portuguese","301","001","","24","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312","001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Portuguese Language","330","001","","11","3.409","54.5","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Survey-Brazl Lit since 1890","468","001","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Portug: Study Abroad","599","000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772","001","","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Independent Reading","899","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
