"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","140","2.888","18.6","12.9","38.6","7.9","12.9","6.4","2.1","0.7",".",".",".",".",".",".",".","."
"103","002","","139","2.956","28.8","10.8","29.5","6.5","13.7","4.3","4.3","2.2",".",".",".",".",".",".",".","."
"103","003","","136","2.967","27.9","5.9","38.2","3.7","16.2","5.9","1.5","0.7",".",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","","415","2.937","25.1","9.9","35.4","6.0","14.2","5.5","2.7","1.2",".",".",".",".",".",".",".","."
"113","001","","19","2.737","10.5","5.3","42.1","5.3","36.8",".",".",".",".",".",".",".",".",".",".","."
"113","002","","21","3.095","33.3","9.5","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"113","003","","21","2.738","19.0","14.3","28.6",".","28.6","4.8","4.8",".",".",".",".",".",".",".",".","."
"113","004","","20","2.750","30.0",".","20.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","81","2.833","23.5","7.4","29.6","3.7","30.9","3.7","1.2",".",".",".",".",".",".",".",".","."
"150
Topics in Astronomy","001","","58","3.184","22.4","20.7","19.0","17.2","3.4",".","1.7","15.5",".",".",".",".",".",".",".","."
"200
The Physical Universe","001","","20","2.737","15.0","20.0","25.0",".","25.0","5.0","5.0","5.0",".",".",".",".",".",".",".","."
"330
Galaxies","001","","11","3.000","9.1","54.5","18.2",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"500
Tech-Mod Observatl Astrophy","001","","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Astrodynamics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"620
Smr-Astrophysical Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"715
Stellar Interiors&Evolution","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Adv Independent Reading","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
