"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","305","2.607","11.1","14.8","23.0","13.8","23.0","10.2","2.3","1.3",".",".",".",".",".","0.7",".","."
"","102
001","15","3.500","40.0","6.7","6.7",".",".","6.7",".","40.0",".",".",".",".",".",".",".","."
"","102
002","12","3.917","41.7","8.3",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","27","3.667","40.7","7.4","3.7",".",".","3.7",".","44.4",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","111
001","21","3.556","52.4","23.8",".","4.8",".",".","4.8","14.3",".",".",".",".",".",".",".","."
"","125
001","26","3.750","3.8","3.8",".",".",".",".",".","65.4",".",".",".",".",".",".","26.9","."
"","125
002","12","4.000","41.7",".",".",".",".",".",".","41.7",".",".",".",".",".","16.7",".","."
"","125
003","26","",".",".",".",".",".",".",".","88.5",".",".",".",".",".",".","11.5","."
"","125
004","19","4.000","5.3",".",".",".",".",".",".","84.2",".",".",".",".",".",".","10.5","."
"Adapted Fitness&Pers Traing","Course Total","83","3.938","8.4","1.2",".",".",".",".",".","73.5",".",".",".",".",".","2.4","14.5","."
"","127
001","22","3.300",".","31.8","9.1","4.5",".",".",".","54.5",".",".",".",".",".",".",".","."
"","127
002","21","3.500","4.8","19.0","4.8",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"","127
003","24","3.538","20.8","16.7","16.7",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"Bowling I","Course Total","67","3.448","9.0","22.4","10.4","1.5",".",".",".","56.7",".",".",".",".",".",".",".","."
"","129
001","19","3.967","73.7","5.3",".",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"","129
002","25","3.868","64.0","4.0","8.0",".",".",".",".","24.0",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","44","3.912","68.2","4.5","4.5",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"","130
001","31","3.717","45.2","19.4","6.5","3.2",".",".",".","25.8",".",".",".",".",".",".",".","."
"","130
02","25","3.674","76.0",".","8.0","4.0",".",".","4.0","8.0",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","56","3.696","58.9","10.7","7.1","3.6",".",".","1.8","17.9",".",".",".",".",".",".",".","."
"","131
001","15","3.350","33.3","20.0","6.7",".",".",".","6.7","33.3",".",".",".",".",".",".",".","."
"","131
002","22","3.500","31.8","31.8","18.2",".","4.5",".",".","4.5",".",".",".",".",".","9.1",".","."
"","131
003","20","3.786","25.0","5.0","5.0",".",".",".",".","65.0",".",".",".",".",".",".",".","."
"","131
004","19","3.929","63.2","10.5",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","76","3.630","38.2","17.1","7.9",".","1.3",".","1.3","31.6",".",".",".",".",".","2.6",".","."
"","132
001","22","3.708","31.8","18.2",".","4.5",".",".",".","40.9","4.5",".",".",".",".",".",".","."
"","132
002","16","3.308","25.0","25.0","12.5","12.5","6.3",".",".","18.8",".",".",".",".",".",".",".","."
"","132
003","27","3.346","29.6","3.7","3.7","7.4",".",".","3.7","51.9",".",".",".",".",".",".",".","."
"","004
132","24","3.556","16.7","50.0","8.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","132
005","22","3.618","27.3","40.9","9.1",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"","132
006","27","3.633","37.0","11.1","3.7",".",".","3.7",".","40.7",".",".",".",".",".",".",".","3.7"
"","132
007","27","3.643","51.9","7.4","11.1","3.7","3.7",".",".","22.2",".",".",".",".",".",".",".","."
"","132
008","29","3.605","44.8","10.3","6.9",".",".",".","3.4","34.5",".",".",".",".",".",".",".","."
"","132
009","21","3.786","42.9","19.0","4.8",".",".",".",".","28.6",".",".",".",".","4.8",".",".","."
"Weight Training","Course Total","215","3.585","34.9","19.5","6.5","2.8","0.9","0.5","0.9","32.6","0.5",".",".",".","0.5",".",".","0.5"
"","133
001","19","3.719","52.6","21.1","5.3","5.3",".",".",".","15.8",".",".",".",".",".",".",".","."
"","133
002","21","3.735","61.9","4.8","9.5",".","4.8",".",".","19.0",".",".",".",".",".",".",".","."
"","133
003","23","3.735","52.2","13.0","4.3",".","4.3",".",".","26.1",".",".",".",".",".",".",".","."
"","133
004","29","3.725","44.8","13.8","6.9","3.4",".",".",".","31.0",".",".",".",".",".",".",".","."
"","133
005","21","3.450","38.1","38.1","14.3",".",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","113","3.667","49.6","17.7","8.0","1.8","1.8",".","0.9","20.4",".",".",".",".",".",".",".","."
"","134
001","20","3.853","60.0","25.0",".",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"","134
002","14","3.846","71.4","14.3","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","134
003","26","3.967","53.8","3.8",".",".",".",".",".","42.3",".",".",".",".",".",".",".","."
