"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"EDU","College Total","11580","3.720","58.3","15.2","7.5","2.0","1.6","0.4","0.6","8.4","0.1","4.8","0.0","0.4","0.4","0.2","0.2","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"EDU","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","708","3.428","50.8","20.2","13.3","4.5","6.5","1.8","1.4","1.0",".",".",".",".",".","0.4",".","."
"Sophomore","","1301","3.587","56.6","21.2","11.3","3.5","3.2","1.0","0.5","2.4",".","0.1",".",".",".","0.2","0.1","."
"Junior","","1809","3.673","58.2","18.1","9.5","2.5","1.8","0.5","0.6","3.9",".","4.8",".",".",".","0.2",".","."
"Senior","","4918","3.729","56.8","15.7","7.2","1.9","1.0","0.2","0.7","7.5","0.0","8.6","0.1",".","0.3","0.1","0.0","0.0"
"Undergraduates","","8736","3.672","56.5","17.4","8.8","2.5","1.9","0.5","0.7","5.5","0.0","5.8","0.0",".","0.2","0.1","0.0","0.0"
"Special","","531","3.811","62.5","8.3","4.3","1.1","0.4","0.6","1.3","14.3",".","3.0",".",".","0.8","0.9","2.4","."
"Graduate","","2275","3.891","64.5","8.3","3.1","0.4","0.4","0.1","0.1","17.6","0.3","1.4",".","2.1","1.1","0.2","0.3","0.1"
"Prof Yr 1","","5","3.714","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","9","3.563","33.3","11.1","11.1",".","11.1",".",".","33.3",".",".",".",".",".",".",".","."
"Prof Yr 3","","21","3.636","23.8","14.3","9.5",".",".",".",".","52.4",".",".",".",".",".",".",".","."
"Prof Yr 4","","3","3.500",".","33.3",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Professionals","","38","3.630","26.3","18.4","10.5",".","2.6",".",".","42.1",".",".",".",".",".",".",".","."
"","College Total","11580","3.720","58.3","15.2","7.5","2.0","1.6","0.4","0.6","8.4","0.1","4.8","0.0","0.4","0.4","0.2","0.2","0.0"
