"Ways of Knowing Biology","151
001","","21","",".",".",".",".","","",".",".","",".","",".","",".","","95.2","4.8",".","",".","",".",".","."
"World Hunger & Malnutrition","350
001","","3","***","","","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Special Topics","375
002","","2","***","","","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Special Topics","875
002","","2","***","","","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"INTER-AG
494","Dept. Total","","28","3.559","14.3","3.6","7.1","",".","",".","",".","",".","",".","",".","71.4","3.6","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","15","4.000","6.7",".",".","",".","",".","",".","",".","",".","",".","86.7","6.7","",".","",".",".",".","."
"Sophomore","","","8","4.000","12.5",".",".","",".","",".","",".","",".","",".","",".","87.5",".","",".","",".",".",".","."
"Senior","","","2","3.500","50.0",".","50.0","",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","","25","3.625","12.0",".","4.0","",".","",".","",".","",".","",".","",".","80.0","4.0","",".","",".",".",".","."
"Graduate","","","3","3.500","33.3","33.3","33.3","",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"","Dept. Total","","28","3.559","14.3","3.6","7.1","",".","",".","",".","",".","",".","",".","71.4","3.6","",".","",".",".",".","."
