"","575
007","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clinical Lab Science Practicum","Course Total","20","3.728","55.0","35.0","10.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Seminar-Clinical Cytogenetics","610
001","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Current Issues Seminar","640
001","27","3.870","85.2","3.7","11.1",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"CLNLABSC
628","Dept. Total","252","3.451","41.7","22.6","32.9","0.8","2.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.000",".",".","100.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","36","3.411","36.1","25.0","30.6","2.8","5.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","214","3.461","43.0","22.4","32.7","0.5","1.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","252","3.451","41.7","22.6","32.9","0.8","2.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","252","3.451","41.7","22.6","32.9","0.8","2.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
