"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","211","001","","44","2.864","22.7","15.9","18.2","20.5","11.4","11.4",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","30","2.900","16.7","20.0","26.7","20.0","6.7","10.0",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","40","2.900","15.0","20.0","35.0","5.0","17.5","7.5",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","43","2.965","23.3","16.3","30.2",".","27.9",".","2.3",".",".",".",".",".",".",".",".","."
"","324","002","","8","3.313","25.0","37.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","10","3.250","30.0","20.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","12","3.167","25.0","8.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","324","005","","12","3.208","25.0","25.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","42","3.226","26.2","21.4","28.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","49","2.908","20.4","16.3","24.5","14.3","18.4","6.1",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","34","2.956","23.5","14.7","32.4",".","26.5",".","2.9",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","45","3.111","24.4","22.2","31.1","8.9","8.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","45","2.989","24.4","11.1","22.2","26.7","13.3","2.2",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","57","3.061","17.5","22.8","24.6","24.6","10.5",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","002","","38","2.987","18.4","21.1","23.7","13.2","23.7",".",".",".",".",".",".",".",".",".",".","."
"Heterogeneous Catalysis","535","001","","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","29","3.017","24.1","13.8","24.1","17.2","20.7",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","11","3.364","27.3","36.4","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","9","3.820","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","002","","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","005","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","50","3.811","82.0","8.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","25","3.978","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Transport Phenomena","620","001","","18","3.472","33.3","33.3","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Studies","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computnl Modllng-Reactv Sys","731","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 108 of 407",""
