"","ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","412","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","412","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronic Circuits","","Course Total","","56","3.455","48.2",".","46.4",".","3.6",".",".",".",".",".",".",".",".",".","1.8","."
"Electromag Wave Transmissn","420","001","","56","2.875","16.1","19.6","35.7","8.9","8.9","7.1","3.6",".",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photonics","434","001","","16","3.313","50.0","6.3","25.0","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","","9","3.125","33.3","22.2","11.1",".","11.1","11.1",".",".",".",".",".",".",".","11.1",".","."
"Communication Systems II","437","001","","19","3.737","57.9","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Microwave-Devices&Applicatn","444","001","","21","2.905","23.8","19.0","23.8","9.5","14.3","4.8","4.8",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453","001","","32","3.355","25.0","43.8","15.6","6.3","3.1","3.1",".",".",".",".",".",".",".","3.1",".","."
"Math&Comp Model-Physiol Sys","461","001","","14","2.857","7.1","14.3","50.0","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Electronics of Solids","466","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","491","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Elec Mach&Drive Systm Lab","504","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","","Course Total","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Introduction to Plasmas","525","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Processng & Technlgy","528","001","","7","3.250","14.3","28.6","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Thry&Appl of Pattrn Recgntn","532","001","","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Networks","537","001","","42","3.321","38.1","26.2","19.0","4.8","9.5",".","2.4",".",".",".",".",".",".",".",".","."
"Num Model-Semicndctr Device","543","001","","11","3.000","36.4",".","18.2","18.2","27.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Microwave Measurmnt-","545","001","","18","3.694","83.3","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Commun","","","","","","","","","","","","","","","","","","","","",""
"Lasers","546","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Com Circuit Dsgn","547","001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"IC Fabrication Lab","549","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","32","2.797","9.4","31.3","34.4","3.1","9.4","3.1","9.4",".",".",".",".",".",".",".",".","."
"","552","001","","17","3.088","11.8","35.3","17.6","29.4","5.9",".",".",".",".",".",".",".",".",".",".","."
"","552","002","","13","3.462","38.5","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","30","3.250","23.3","30.0","23.3","20.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Circuits&Components","555","001","","62","3.352","29.0","27.4","29.0","9.7","3.2",".",".","1.6",".",".",".",".",".",".",".","."
"Automatic Controls Lab","577","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Elec&Comptr Eng","602","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 117 of 407",""
