"RELIGIOUS STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"Intro Topics in Relig St (H)","200","001","","25","3.165","24.0","28.0","28.0","16.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","","58","3.448","39.7","39.7","12.1","1.7","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","","16","3.625","56.3","25.0","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Classical Per","251","001","","26","3.231","15.4","38.5","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Lits of Muslim Societies-Trans","257","001","","18","3.441","27.8","33.3","27.8","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","49","3.469","30.6","38.8","22.4","4.1","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"I-Ching-Book of Change","340","001","","31","3.402","35.5","19.4","22.6","19.4",".",".",".",".",".",".",".",".","3.2",".",".","."
"Religions-Ancient Near East","351","001","","14","3.417","14.3","50.0","14.3","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"Literatures-Muslim Societies","357","001","","28","3.423","14.3","53.6","21.4","3.6",".",".",".",".",".",".",".",".",".",".","7.1","."
"The Anglo-Saxons","360","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Jainism: Relig of Non-Violence","367","001","","32","3.533","46.9","18.8","18.8","6.3","3.1",".",".","6.3",".",".",".",".",".",".",".","."
"Jews of Central&Eastern Europe","372","001","","12","3.590","58.3",".","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","377","001","","33","2.848","24.2","21.2","27.3","9.1","3.0","3.0","12.1",".",".",".",".",".",".",".",".","."
"","400","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","","48","3.457","45.8","18.8","16.7","8.3","2.1",".","2.1","6.3",".",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","","50","3.479","48.0","18.0","16.0","8.0","2.0",".","2.0","6.0",".",".",".",".",".",".",".","."
"Topics in Relig St-Soc Studies","401","002","","17","3.203","58.8","23.5",".",".","5.9",".","11.8",".",".",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421","001","","29","3.586","37.9","44.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Milton","434","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","","15","3.429","33.3","13.3","46.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","","16","3.298","37.5","6.3","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Holy & Sacred in Rabbinic Lit","446","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501","001","","9","3.500","22.2","44.4",".","11.1",".",".",".","22.2",".",".",".",".",".",".",".","."
"Religion and Public Education","516","001","","15","3.433","20.0","66.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","","15","3.600","53.3","26.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Cross-Cultrl Spread-Wld Relig","622","001","","6","3.600","50.0",".","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Gods & Goddesses of South Asia","626","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Structure of India","634","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 294 of 407",""
