"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","329","3.464","38.9","31.9","21.3","3.0","2.1","1.8","0.6","0.3",".",".",".",".",".",".",".","."
"Voice Training","140
001","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","17","3.882","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","150
004","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
150","16","3.933","87.5",".","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","150
007","18","3.722","83.3","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","150
008","16","3.563","75.0","12.5",".",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","150
009","15","3.633","53.3","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","150
010","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","134","3.820","83.6","9.0","3.0",".","2.2",".","1.5","0.7",".",".",".",".",".",".",".","."
"","161
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","6","3.500","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"","161
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","36","3.743","61.1","22.2","13.9",".",".",".",".",".",".",".",".",".",".",".","2.8","."
"Theatre Production Laboratory","162
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","166
001","17","3.719","58.8","17.6","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","10","3.000","10.0","20.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Theatre&Drama","219
001","12","3.727","41.7","50.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Wrld Theatre&Drama from 18c","222
001","74","3.209","21.6","35.1","24.3","12.2","2.7","2.7","1.4",".",".",".",".",".",".",".",".","."
"","250
001","17","3.794","76.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","17","3.765","64.7","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","34","3.779","70.6","20.6","2.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","25","3.180","32.0","24.0","24.0","4.0","8.0","8.0",".",".",".",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","16","3.968","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","24","3.814","79.2","4.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","22","3.705","72.7","13.6","9.1",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","18","3.364","50.0","16.7","11.1","11.1",".",".","5.6",".",".",".",".",".",".","5.6",".","."
"Stage Management","379
001","14","3.250","64.3","7.1","7.1",".","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
