"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"Pub Info Campaigns & Progms","Course Total","","39","3.808","89.7","2.6","2.6",".","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"530","001","","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"530","002","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","","23","3.674","52.2","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"532
Web Design for the Sciences","001","","11","3.750","63.6","9.1","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"617
Hlth Communication-Info Age","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","7","3.658","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","23","3.843","82.6","4.3","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"860
Sci & Envir Communication","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","10","3.938","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"Special Topics","Course Total","","44","3.971","95.5","2.3",".",".",".",".",".",".",".",".",".",".",".","2.3",".","."
"880
Topics in Mass Communication","193","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","17","",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
