"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Woman-Western Culture","101","001","82","3.171","18.3","34.1","29.3","7.3","8.5","1.2","1.2",".",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","111","3.856","81.1","11.7","5.4","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","404","3.542","43.3","32.7","13.4","5.9","2.7",".","0.2","1.7",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200","001","111","3.686","73.0","13.5","5.4","3.6",".","0.9","2.7","0.9",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215","001","19","2.605","10.5","15.8","21.1","21.1","21.1","5.3","5.3",".",".",".",".",".",".",".",".","."
"","248","001","11","3.091","9.1","9.1","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","248","002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","","Course Total","19","3.421","36.8","15.8","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","35","3.529","34.3","42.9","17.1","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","68","3.407","16.2","51.5","26.5","4.4",".",".",".","1.5",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Women and the Law","422","001","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Intl Human Rights","424","001","31","3.306","29.0","19.4","41.9","3.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","40","3.577","60.0","2.5","27.5","5.0","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"Med Hist of Sex & Sexuality","524","001","22","3.409","22.7","45.5","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","51","3.458","41.2","25.5","13.7","5.9","7.8",".",".",".",".",".",".",".","2.0","3.9",".","."
"Afr Am Women's Activism 19-20C","624","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","34","3.712","47.1","44.1","5.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Internship-Women's Studies","660","001","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","9","3.740","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","34","3.911","91.2","5.9",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Hlth-Women Across Lifespan","735","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Methods in Women's St","900","001","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
