"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","77","2.857","32.5","11.7","18.2","6.5","16.9","10.4","3.9",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","57","3.754","68.4","24.6","5.3",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","002","","20","3.325","35.0","15.0","35.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","7","3.500","71.4",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","20","3.800","85.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","58","3.310","24.1","29.3","31.0","15.5",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","389","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","24","3.500","45.8","12.5","37.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","48","3.031","29.2","22.9","14.6","12.5","10.4","10.4",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","","45","3.722","51.1","42.2","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Occupatnl Safty&Health Engr","556","001","","31","3.233","19.4","32.3","29.0","6.5","9.7",".",".","3.2",".",".",".",".",".",".",".","."
"Patient Safety&Error Reduction","559","001","","21","3.500","38.1","52.4","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","","27","3.404","18.5","44.4","29.6","3.7",".",".",".",".",".",".",".",".",".","3.7",".","."
"Ergonomics in Service","565","001","","20","3.650","45.0","45.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Location Models","578","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn-Program Evaluation Sys","610","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620","001","","21","3.475","33.3","33.3","19.0","9.5",".",".",".","4.8",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","30","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced CAD/CAM","655","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"E-Business Transformation","672","001","","26","3.880","76.9","15.4","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","691","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","016","","19","3.474","36.8","31.6","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","691","022","","8","3.750","50.0","12.5","12.5",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"","691","024","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","031","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","032","","32","3.839","68.8","25.0","3.1",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","83","3.715","57.8","24.1","9.6","3.6",".",".",".","3.6",".",".",".",".","1.2",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","8","3.932","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 127 of 407",""
