"MED","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE TRAINING PRO Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","",""
"990
057","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"990
059","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"990
062","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"990
065","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"990
067","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"990
069","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Course Total
Research and Thesis","43","",".",".",".",".",".",".","",".","93.0","2.3",".",".","4.7","",".",".",".","."
"NEUROSCI
Dept. Total
682","216","3.752","47.2","10.2","3.2","0.9","0.5","0.5","",".","36.1","0.5",".",".","0.9","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","",""
"Junior","8","3.700","87.5",".",".",".","12.5",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","84","3.743","77.4","13.1","6.0","2.4",".","1.2","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","92","3.739","78.3","12.0","5.4","2.2","1.1","1.1","",".",".",".",".",".",".","",".",".",".","."
"Special","4","3.643","25.0","50.0",".",".",".",".","",".","25.0",".",".",".",".","",".",".",".","."
"Graduate","112","3.779","24.1","8.0","1.8",".",".",".","",".","64.3","0.9",".",".","0.9","",".",".",".","."
"Prof Yr 3","8","4.000","25.0",".",".",".",".",".","",".","62.5",".",".",".","12.5","",".",".",".","."
"Professionals","8","4.000","25.0",".",".",".",".",".","",".","62.5",".",".",".","12.5","",".",".",".","."
"Dept. Total","216","3.752","47.2","10.2","3.2","0.9","0.5","0.5","",".","36.1","0.5",".",".","0.9","",".",".",".","."
