"PROFESSIONAL ORIENTATION","Section","#","","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Career Orientation","200
001","","42","3.732","73.8","14.3","4.8",".","","",".","4.8",".","","2.4",".","",".",".","",".","",".","",".",".","."
"PRO OR
812","Dept. Total","","42","3.732","73.8","14.3","4.8","",".","",".","4.8","",".","2.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".",".","",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","17","3.618","64.7","17.6","11.8","",".","",".","5.9","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","24","3.804","79.2","12.5",".","",".","",".","4.2","",".","4.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","42","3.732","73.8","14.3","4.8","",".","",".","4.8","",".","2.4","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","42","3.732","73.8","14.3","4.8","",".","",".","4.8","",".","2.4","",".",".","",".","",".","",".",".",".","."
