"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Life Drawing I","Course Total","","23","3.652","56.5","21.7","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"","244
001","","15","3.167","40.0","33.3","13.3",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"","244
002","","9","3.417",".","55.6","11.1",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","244
003","","16","3.400","31.3","25.0","31.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","40","3.306","27.5","35.0","20.0",".","2.5",".","5.0","10.0",".",".",".",".",".",".",".","."
"","246
001","","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","246
002","","17","3.469","35.3","35.3","11.8","5.9","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"Lettering","Course Total","","30","3.603","53.3","23.3","10.0","6.7","3.3",".",".",".",".",".",".",".",".","3.3",".","."
"","302
001","","20","3.825","80.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color","Course Total","","36","3.861","80.6","11.1","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","10","3.250","30.0","20.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","11","3.045","18.2","27.3","36.4",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","21","3.143","23.8","23.8","33.3","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","12","3.292","25.0","16.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","17","3.324","23.5","23.5","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","324
001","","14","3.643","85.7",".","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","324
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","Course Total","","29","3.828","93.1",".","3.4",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Etching","326
001","","12","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","12","3.167","41.7","8.3","16.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","328
002","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","24","3.458","54.2","12.5","16.7","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","","7","3.500","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","10","3.450","30.0","50.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Art Metal II","344
001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","28","3.768","57.1","39.3","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","16","3.293","12.5","43.8","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","26","3.865","84.6","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 72 of 407"
