"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100","001","87","3.632","62.1","14.9","17.2","3.4","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Plants, Parasites, & People","123","001","79","3.147","19.0","34.2","20.3","12.7","10.1","2.5",".",".",".",".",".",".",".","1.3",".","."
"General Botany","130","001","159","3.076","34.0","6.3","34.0","5.0","15.1","3.1","1.9",".","0.6",".",".",".",".",".",".","."
"Introductory Biology","151","001","30","3.167","23.3","6.7","60.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","152","001","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152","002","16","3.000","25.0","12.5","37.5",".","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"","152","003","21","2.857","14.3","4.8","47.6","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","48","3.094","29.2","8.3","39.6","6.3","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","48","3.042","29.2","10.4","25.0","14.6","18.8","2.1",".",".",".",".",".",".",".",".",".","."
"Fungi","332","001","13","3.192","38.5","7.7","30.8",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"Field Collectns&Identifictn","403","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","21","2.476","9.5","4.8","38.1","4.8","28.6","9.5","4.8",".",".",".",".",".",".",".",".","."
"Plant Geography","422","001","35","3.571","42.9","31.4","22.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Midwest Ecol Iss: Case Study","450","001","38","3.054","23.7","34.2","13.2","7.9","10.5","2.6","5.3","2.6",".",".",".",".",".",".",".","."
"General Ecology","460","001","26","3.385","42.3","11.5","34.6","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Sys Concepts","461","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"General Genetics","466","001","14","2.893","28.6","7.1","14.3","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Intro to Systems Biology","468","001","19","3.632","52.6","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Physiology","500","001","34","3.311","38.2","29.4","14.7","2.9","5.9","2.9","2.9","2.9",".",".",".",".",".",".",".","."
"Plant-Microbe Interactions","505","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Cytogenetics","561","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Phylogenetic Anal-Molec Data","563","001","16","3.531","43.8","18.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","575","001","41","3.080","22.0","4.9","46.3","9.8","7.3","2.4",".","2.4",".",".",".",".","2.4",".","2.4","."
"Conservation Biology","651","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","30","3.864","80.0","10.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
