"L&S","","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","1692","3.127","29.1","15.5","20.7","8.7","7.1","3.1","2.5","10.7","0.2","1.7","0.1","0.1","",".","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","92","2.629","15.2","17.4","20.7","12.0","17.4","8.7","6.5","1.1",".",".","1.1",".","",".",".",".","."
"Sophomore","","270","2.821","16.7","11.5","34.1","13.0","13.0","5.2","3.0","1.5","0.4","1.5",".",".","",".","0.4",".","."
"Junior","","334","3.013","26.3","14.7","26.9","13.2","7.5","3.0","3.9","1.8",".","2.7",".",".","",".",".",".","."
"Senior","","488","3.125","29.3","18.4","24.2","9.6","8.2","3.3","2.0","1.0","0.2","2.7","0.2",".","",".","0.2","0.2","0.4"
"Undergraduates","","1184","2.986","24.5","15.7","26.9","11.6","9.8","4.1","3.1","1.4","0.2","2.2","0.2",".","",".","0.2","0.1","0.2"
"Special","","38","2.871","28.9","10.5","26.3","7.9","5.3","10.5","5.3","5.3",".",".",".",".","",".",".",".","."
"Graduate","","470","3.719","40.9","15.3","4.7","1.5","0.4",".","0.6","34.7","0.4","0.6",".","0.2","",".","0.4","0.2","."
"","Dept. Total","1692","3.127","29.1","15.5","20.7","8.7","7.1","3.1","2.5","10.7","0.2","1.7","0.1","0.1","",".","0.2","0.1","0.1"
