"BUS","","","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","1744","3.216","29.6","18.1","32.5","5.2","8.4","2.2","1.4","2.2","0.2",".","",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","3.086","27.6","20.7","34.5","3.4","6.9",".","6.9",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","321","2.969","25.2","8.4","41.1","2.2","15.9","4.0","2.5",".","0.6",".","",".","",".","",".",".",".","."
"Junior","","544","3.112","25.2","15.1","39.3","7.0","10.3","1.7","1.5",".",".",".","",".","",".","",".",".",".","."
"Senior","","644","3.320","31.7","20.7","28.3","6.2","5.0","2.6","0.9","4.5","0.2",".","",".","",".","",".",".",".","."
"Undergraduates","","1538","3.173","28.0","16.1","35.0","5.6","9.2","2.5","1.6","1.9","0.2",".","",".","",".","",".",".",".","."
"Special","","12","3.000","25.0","16.7","33.3",".","8.3",".","8.3","8.3",".",".","",".","",".","",".",".",".","."
"Graduate","","191","3.589","42.4","34.0","13.1","2.6","2.6",".",".","4.7",".",".","",".","",".","",".",".","0.5","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1744","3.216","29.6","18.1","32.5","5.2","8.4","2.2","1.4","2.2","0.2",".","",".","",".","",".",".","0.1","."
