"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","1876","3.094","31.6","16.4","22.2","8.8","11.8","4.0","2.3","2.5","",".",".","",".","0.2","0.1","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","34","2.588","14.7","17.6","20.6","5.9","26.5","8.8","5.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","377","2.858","24.7","11.4","25.2","11.4","18.3","6.1","2.7",".","",".",".","",".",".","0.3",".",".","."
"Junior","","500","2.901","21.6","16.2","28.0","11.0","14.2","5.0","3.6",".","",".",".","",".",".","0.2","0.2",".","."
"Senior","","420","2.913","27.6","13.6","20.2","13.8","16.0","5.5","3.1","0.2","",".",".","",".",".",".",".",".","."
"Undergraduates","","1331","2.885","24.2","14.0","24.6","11.9","16.2","5.6","3.2","0.1","",".",".","",".",".","0.2","0.1",".","."
"Special","","22","3.450","50.0","22.7","4.5","4.5","4.5",".","4.5",".","",".",".","",".",".",".","9.1",".","."
"Graduate","","393","3.663","48.1","25.7","13.0","1.3","0.3",".",".","10.9","",".",".","",".","0.8",".",".",".","."
"Prof Yr 1","","127","3.559","54.3","11.8","29.9","0.8","2.4","0.8",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","3","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".",".",".",".",".","."
"Professionals","","130","3.564","53.8","11.5","29.2","0.8","2.3","0.8",".","1.5","",".",".","",".",".",".",".",".","."
"","Dept. Total","1876","3.094","31.6","16.4","22.2","8.8","11.8","4.0","2.3","2.5","",".",".","",".","0.2","0.1","0.2",".","."
