"TRANSPORTATION AND PUBLIC  Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","",""
"478
001
Urban Transport Economics","","17","3.529","52.9","17.6","17.6","5.9","5.9",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"TRAN P U
Dept. Total
243","","17","3.529","52.9","17.6","17.6","5.9","5.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","3","3.333",".","66.7","33.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","12","3.500","58.3","8.3","16.7","8.3","8.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","16","3.500","50.0","18.8","18.8","6.3","6.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","17","3.529","52.9","17.6","17.6","5.9","5.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
