"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","140","3.164","25.0","25.7","24.3","10.7","9.3","1.4","1.4","0.7",".",".",".",".",".","1.4",".","."
"Renaissance to Modern Art","202","001","212","3.512","46.2","24.5","19.8","1.9","1.9","0.9","1.4","3.3",".",".",".",".",".",".",".","."
"Survey-Photogrphy:1839-1989","206","001","98","3.282","44.9","14.3","10.2","9.2","8.2","4.1","2.0","5.1",".",".",".",".",".","2.0",".","."
"Intro-Africn Art&Architectr","241","001","41","3.732","68.3","19.5","7.3",".","4.9",".",".",".",".",".",".",".",".",".",".","."
"Greek Sculpture","302","001","27","2.980","29.6","18.5","22.2","7.4","3.7",".","11.1","7.4",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","37","3.544","51.4","16.2","8.1","13.5","2.7",".",".","8.1",".",".",".",".",".",".",".","."
"Arts in 16th Century Italy","323","001","53","2.951","7.5","26.4","24.5","20.8","11.3","1.9",".","3.8",".",".",".",".","1.9",".","1.9","."
"Netherlandish Painting-17c","333","001","44","3.146","31.8","13.6","20.5","18.2","4.5","2.3","2.3","6.8",".",".",".",".",".",".",".","."
"Study Abroad-Ren/Baroq Art","336","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad-African/Asian Art","338","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"20th Century Art in Europe","351","001","53","3.154","22.6","15.1","17.0","5.7","17.0",".",".","20.8",".",".",".",".",".","1.9",".","."
"German Art of 19th Century","352","001","12","3.125","25.0","16.7","33.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Europn Arch:Modern Movemnts","358","001","62","2.856","14.5","24.2","17.7","16.1","14.5","6.5","1.6","4.8",".",".",".",".",".",".",".","."
"Hist of Amer Art, 1607-Present","364","001","45","3.260","20.0","31.1","28.9","8.9","2.2","2.2",".","6.7",".",".",".",".",".",".",".","."
"Amer Architecture: 19th C","368","001","74","3.008","24.3","21.6","23.0","1.4","9.5","4.1","5.4","10.8",".",".",".",".",".",".",".","."
"Topics in American Art","406","001","30","3.450","23.3","63.3","10.0",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Topics-Architecturl History","449","001","18","3.464","44.4","16.7",".",".","16.7",".",".","11.1",".",".",".",".",".","11.1",".","."
"Prosem:Spec Topics-Art Hist","500","001","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Japanese Art","575","001","15","3.400","40.0","40.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Proseminar in African Art","579","001","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","20","3.789","60.0","30.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","600","002","12","3.583","16.7","25.0","8.3",".",".",".",".","33.3",".",".",".",".","8.3",".","8.3","."
"","600","003","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","600","004","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Art History","","Course Total","48","3.725","45.8","29.2","8.3",".",".",".",".","8.3",".",".",".",".","6.3",".","2.1","."
"Senior Honors Thesis","681","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","691","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.676","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","799","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
