"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"265
Intro-Medical Physics","001","","7","3.214",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Topics-Medical Physics","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"559
Patient Safety&Error Reduction","001","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","24","3.521","37.5","37.5","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"568
Magnetc Resonance Imag(MRI)","001","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Health Physics","001","","29","3.524","44.8","24.1","20.7","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"570
Adv Brachytherapy Physics","001","","17","3.647","35.3","58.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"574
Med Imag Sci:Stochastic Aspect","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Diagnos Ultrasound Physics","001","","15","3.500","33.3","26.7","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".","6.7"
"619
Microscopy of Life","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"662
Rad Lab-Diagnstc Rad Phys","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"663
Rad Lab-Nuc Med Physics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"664
Rad Lab - Health Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"665
Rad Lab:CT,MRI,&DSA Physics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"707
Digital X-Ray Imaging","001","","7","3.429","14.3","71.4",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"812
Radiation Med Physics Clerkshp","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Journal Club and Seminar","001","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","40","",".",".",".",".",".",".",".","72.5",".",".",".","27.5",".",".",".","."
