"GEOLOGICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","",""
"171
Intro to Geological Engr","001","","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Intro-Aerial Photo Systems","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"302
Elec-op&Micro Remote Sensng","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"303
Remote Sensng Digtl Image","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"304
Remote Sensng Vis Image&GIS","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"330","001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"330","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil Mechanics","Course Total","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Topics-Geological Engr","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"475
Rock Mech Appl-Envr Probs","001","","12","3.583","50.0","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"479
Geological Engr Design","001","","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Seepage and Slopes","001","","12","3.417","16.7","66.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"790","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"801","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Geological Engr","Course Total","","4","***","","","","","","","","","","","","","","","",""
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"900
Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Research and Thesis","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"G L E
418","Dept. Total","","97","3.569","37.1","33.0","14.4","1.0","2.1",".",".","11.3",".",".",".",".",".",".","1.0","."
