"CHEMICAL & BIOLOGICAL ENGR Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Course Total
Thesis-Research","26","",".",".",".",".",".",".",".","100.0","",".",".",".",".","",".",".",".","."
"CBE
Dept. Total
220","788","3.166","32.6","13.5","18.4","9.3","9.9","2.0","0.4","13.5","",".","0.4",".","0.1","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Sophomore","12","3.206","33.3","16.7","16.7","33.3",".",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","121","2.965","21.5","17.4","29.8","12.4","13.2","5.8",".",".","",".",".",".",".","",".",".",".","."
"Senior","454","3.131","38.5","14.8","20.0","11.0","13.0","2.0","0.7",".","",".",".",".",".","",".",".",".","."
"Undergraduates","587","3.095","34.9","15.3","22.0","11.8","12.8","2.7","0.5",".","",".",".",".",".","",".",".",".","."
"Special","7","3.000","28.6",".","28.6","28.6","14.3",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","199","3.638","28.1","8.0","7.0","1.0","1.0",".",".","52.8","",".","1.5",".","0.5","",".",".",".","."
"Prof Yr 3","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".","",".",".",".","."
"Professionals","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".","",".",".",".","."
"Dept. Total","794","3.166","33.1","13.4","18.3","9.2","9.8","2.0","0.4","13.4","",".","0.4",".","0.1","",".",".",".","."
