"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","30","2.567","13.3","10.0","36.7","3.3","23.3","3.3","10.0",".",".",".",".",".",".",".",".","."
"","100
002","32","2.766","15.6","6.3","53.1","3.1","9.4","6.3","6.3",".",".",".",".",".",".",".",".","."
"","003
100","38","2.946","18.4","7.9","50.0","2.6","13.2","2.6","2.6",".",".",".",".",".",".",".","2.6","."
"","004
100","33","3.121","30.3","9.1","39.4","3.0","15.2","3.0",".",".",".",".",".",".",".",".",".","."
"","005
100","38","2.921","21.1","5.3","52.6",".","13.2","5.3","2.6",".",".",".",".",".",".",".",".","."
"","006
100","36","2.667","8.3","2.8","50.0","8.3","22.2","8.3",".",".",".",".",".",".",".",".",".","."
"","100
007","39","2.833","17.9","2.6","46.2","5.1","23.1","5.1",".",".",".",".",".",".",".",".",".","."
"","100
008","32","2.891","21.9","3.1","46.9",".","25.0",".","3.1",".",".",".",".",".",".",".",".","."
"","100
009","33","2.864","30.3","3.0","33.3",".","27.3",".","6.1",".",".",".",".",".",".",".",".","."
"","100
010","29","2.931","24.1","13.8","37.9",".","13.8","6.9","3.4",".",".",".",".",".",".",".",".","."
"","100
011","32","2.967","15.6",".","56.3","6.3","15.6",".",".",".","6.3",".",".",".",".",".",".","."
"","100
012","37","2.797","13.5","5.4","45.9","2.7","29.7","2.7",".",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","409","2.856","19.1","5.6","46.0","2.9","19.3","3.7","2.7",".","0.5",".",".",".",".",".","0.2","."
"","211
001","36","3.014","33.3","2.8","38.9","5.6","8.3","11.1",".",".",".",".",".",".",".",".",".","."
"","002
211","42","3.190","31.0","2.4","52.4","2.4","11.9",".",".",".",".",".",".",".",".",".",".","."
"","211
003","44","3.250","36.4","2.3","50.0","2.3","6.8","2.3",".",".",".",".",".",".",".",".",".","."
"","211
004","35","2.900","20.0","5.7","51.4","2.9","11.4","5.7","2.9",".",".",".",".",".",".",".",".","."
"","211
005","37","3.122","40.5",".","45.9","2.7","2.7",".","8.1",".",".",".",".",".",".",".",".","."
"","211
006","42","3.131","16.7","19.0","47.6","7.1","9.5",".",".",".",".",".",".",".",".",".",".","."
"","211
007","44","3.159","11.4","22.7","54.5","9.1","2.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","280","3.118","26.8","8.2","48.9","4.6","7.5","2.5","1.4",".",".",".",".",".",".",".",".","."
"","300
001","42","3.085","26.2","23.8","33.3","2.4","2.4","2.4","7.1","2.4",".",".",".",".",".",".",".","."
"","300
002","49","3.010","22.4","18.4","26.5","12.2","16.3","4.1",".",".",".",".",".",".",".",".",".","."
"","300
003","48","3.021","22.9","22.9","31.3","6.3","4.2","6.3","4.2","2.1",".",".",".",".",".",".",".","."
"","300
004","46","3.058","23.9","19.6","26.1","8.7","6.5","8.7",".","4.3","2.2",".",".",".",".",".",".","."
"Accounting Principles","Course Total","185","3.042","23.8","21.1","29.2","7.6","7.6","5.4","2.7","2.2","0.5",".",".",".",".",".",".","."
"","301
001","38","3.158","21.1","28.9","28.9","7.9","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"","301
002","42","3.393","40.5","28.6","11.9","16.7",".",".","2.4",".",".",".",".",".",".",".",".","."
"","301
003","39","3.179","25.6","28.2","28.2","7.7","5.1","2.6","2.6",".",".",".",".",".",".",".",".","."
"","301
004","41","3.463","43.9","17.1","31.7","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","160","3.303","33.1","25.6","25.0","8.8","5.0","1.3","1.3",".",".",".",".",".",".",".",".","."
"","302
001","40","2.936","22.5","12.5","27.5","15.0","15.0","2.5","2.5","2.5",".",".",".",".",".",".",".","."
"","302
002","38","3.461","42.1","26.3","15.8","13.2","2.6",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","78","3.195","32.1","19.2","21.8","14.1","9.0","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"","310
001","47","3.436","34.0","29.8","29.8","2.1","4.3",".",".",".",".",".",".",".",".",".",".","."
"","310
002","44","3.430","29.5","36.4","25.0","2.3","4.5",".",".","2.3",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","91","3.433","31.9","33.0","27.5","2.2","4.4",".",".","1.1",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","36","3.113","27.8","22.2","8.3","13.9","8.3","2.8","2.8","13.9",".",".",".",".",".",".",".","."
"","399
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
202","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","Course Total","12","4.000","8.3",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","406
001","27","3.259","40.7",".","44.4",".","14.8",".",".",".",".",".",".",".",".",".",".","."
