"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","7","3.154","14.3","28.6","42.9",".","14.3","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","22","3.219","27.3","27.3","27.3","13.6","4.5","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","49","3.504","44.9","20.4","28.6","2.0","4.1","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","79","3.399","36.7","24.1","29.1","5.1","5.1","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","5","3.231","40.0",".","40.0",".",".","",".","20.0",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","60","3.776","38.3","10.0","3.3",".",".","",".",".","46.7","",".",".","",".","",".","",".",".","1.7","."
"","Dept. Total","144","3.472","37.5","17.4","18.8","2.8","2.8","",".","0.7","19.4","",".",".","",".","",".","",".",".","0.7","."
