"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"726
Grad Intaglio Printmaking I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"736
Grad Graphics Workshop I","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
Grad Intaglio Printmakng II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"836
Grad Graphics Workshop II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"908","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"908","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"908","003","","7","3.750","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"908","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Art","Course Total","","35","3.941","88.6","5.7","2.9",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"912
Adv Research-Drawing","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"914","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"914","077","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","024","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","080","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"922","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","","21","3.949","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Advanced Research-Ceramics","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"944
Adv Research-Art Metal","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"996","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"996","067","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","071","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","7","3.794","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","015","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","020","","10","3.885","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","024","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
