"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","18","3.971","88.9","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","105
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
012","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
013","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","78","3.968","93.6","3.8","1.3",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","110
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","16","3.688","81.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","115
003","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","115
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
014","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","025
115","7","3.571","71.4",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","115
026","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
028","8","3.375","62.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","115
030","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","11","3.409","54.5","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","115
033","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","124","3.770","81.5","12.1","2.4",".","0.8",".","3.2",".",".",".",".",".",".",".",".","."
"Coming to Terms-Cultrl Divrsty","225
001","25","3.400","48.0","16.0","24.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","620
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","114","3.785","79.8","10.5","5.3","2.6",".",".","1.8",".",".",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Counslng-Community Settings","791
001","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac:Grp Work-Cnslrs","802
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Guid Prog Plan & Management","803
001","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling I","806
001","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
001","7","3.652","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Prac-Coun III: Adv","Course Total","23","3.898","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry&Prac-Career Interventn","865
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assess Tech-Couns Psych","890
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","900
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","900
002","9","",".",".",".",".",".",".",".",".",".","88.9",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","17","",".",".",".",".",".",".",".",".",".","94.1",".",".",".",".",".","."
"","901
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","901
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Couns Psych Practicum","Course Total","5","***","","","","","","","","","","","","","","","",""
