"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116
001","","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
002","","24","3.761","50.0","45.8",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"First Aid","Course Total","","45","3.727","51.1","40.0","6.7",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127
001","","52","3.304","13.5","44.2","34.6",".","5.8",".",".",".",".",".",".",".",".","1.9",".","."
"","197
001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","197
002","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","Course Total","","44","3.966","93.2","6.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
002","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","30","3.944","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","","37","3.257","13.5","37.8","40.5","2.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","Course Total","","24","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316
001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318
001","","26","3.500","53.8","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321
001","","52","3.275","23.1","30.8","25.0","15.4","3.8",".",".",".",".",".",".",".",".","1.9",".","."
"","323
001","","24","3.896","87.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
003","","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","Course Total","","72","3.917","88.9","6.9","2.8","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","","60","3.483","50.0","21.7","13.3","8.3","5.0","1.7",".",".",".",".",".",".",".",".",".","."
"Intro to Motor Development","360
001","","22","3.477","40.9","22.7","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361
001","","18","3.583","44.4","38.9","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365
001","","7","3.500","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","399
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457
001","","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462
001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","","13","3.692","84.6",".","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","001
479","","12","3.318","41.7","25.0","16.7",".",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"Seminar-Athletic Training","499
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","508
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523
001","","41","3.707","56.1","29.3","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 102 of 407",""
