"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"100","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"100","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"130
Family & Consumer Newswrtg","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"330
Family & Consumer Features","001","","6","2.917",".","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"340
Contemp Comm Tech&Soc Effct","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"360","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Radio","Course Total","","2","***","","","","","","","","","","","","","","","",""
"435
Integrated Marktng Communicatn","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Special Topics","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Publications Editing","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","4","***","","","","","","","","","","","","","","","",""
"530","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"530","002","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"532
Web Design for the Sciences","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Internship","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"617
Hlth Communication-Info Age","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"FAM COM
464","Dept. Total","","81","3.766","65.4","19.8","9.9",".","1.2",".",".",".",".","3.7",".",".",".",".",".","."
