"Capstone Seminar","450
001","","8","3.813","62.5","37.5",".",".","","",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Special Topics","501
001","","13","3.808","61.5","38.5",".",".","","",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Independent Study","699
004","","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Methods","793
001","","6","3.750","66.7","16.7","16.7",".","","",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"INTER-HE
498","Dept. Total","","91","3.714","65.9","26.4","5.5","",".","",".","1.1","",".","",".","",".",".","",".","",".","1.1",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","4.000","100.0",".",".","",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","5","3.750","80.0",".","20.0","",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","21","3.698","57.1","28.6","14.3","",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","55","3.695","65.5","30.9",".","",".","",".","1.8","",".","",".","",".",".","",".","",".","1.8",".",".","."
"Undergraduates","","","83","3.706","65.1","27.7","4.8","",".","",".","1.2","",".","",".","",".",".","",".","",".","1.2",".",".","."
"Special","","","1","4.000","100.0",".",".","",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","7","3.786","71.4","14.3","14.3","",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","91","3.714","65.9","26.4","5.5","",".","",".","1.1","",".","",".","",".",".","",".","",".","1.1",".",".","."
