"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","066","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","082","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","44","",".",".",".",".",".",".",".","97.7",".",".",".",".",".","2.3",".","."
"812
Arithmetic Algorithms","001","","16","3.625","43.8","50.0",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"830
Abstrct&Concrete Cmplx Thry","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"838
Topics in Computing","001","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"899","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
