"MEDICAL MICROBIOL & IMMUNO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"341
Immunology","001","","100","3.245","42.0","16.0","17.0","8.0","9.0","5.0","1.0","2.0",".",".",".",".",".",".",".","."
"350
Parasitology","001","","74","3.068","27.0","4.1","45.9","6.8","14.9",".","1.4",".",".",".",".",".",".",".",".","."
"351
Parasitology Laboratory","001","","20","3.300","30.0","20.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"410
Medical Mycology","001","","50","3.490","32.0","42.0","18.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"412
Medical Mycology Laboratory","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"529
Immunology Laboratory","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","61","3.410","39.3","27.9","13.1","14.8","4.9",".",".",".",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Biol & Genetics-Filament Fungi","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"677","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"677","015","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","016","","11","3.455","36.4","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"677","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","29","3.695","75.9","13.8","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","3.970","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790
Immunol-Infectious Disease","001","","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"901
Seminar","001","","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 346 of 407",""
