"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","11","2.636","18.2","27.3","9.1","27.3",".",".","18.2",".",".",".",".",".",".",".",".","."
"","100
002","14","3.143","21.4","28.6","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
003","12","3.042","8.3","50.0","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","100
004","13","3.077","7.7","53.8","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","100
005","13","3.038","7.7","46.2","23.1","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","100
006","7","3.357",".","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
100","14","3.179","21.4","21.4","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","100
010","10","3.150",".","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
011","13","3.154",".","61.5","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","100
012","14","2.607",".","42.9","14.3","21.4",".","14.3","7.1",".",".",".",".",".",".",".",".","."
"","100
013","12","3.292","25.0","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","11","3.273","9.1","36.4","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","14","2.929","14.3","21.4","28.6","7.1","28.6",".",".",".",".",".",".",".",".",".",".","."
"","100
018","14","3.536","42.9","35.7","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
019","14","3.429","7.1","78.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
020","15","3.400","20.0","46.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","15","3.400","40.0","20.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
022","13","3.038","7.7","69.2",".",".","7.7","15.4",".",".",".",".",".",".",".",".",".","."
"","100
023","10","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","14","3.643","64.3","14.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
027","13","3.269","23.1","38.5","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","100
028","13","3.231","7.7","46.2","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
029","9","2.944","22.2","22.2","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","100
030","10","2.900",".","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","100
031","10","3.250","20.0","40.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","037
100","12","3.125","8.3","50.0","8.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
039","14","3.179","21.4","35.7","35.7",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
040","13","3.115",".","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
041","8","3.063",".","62.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","100
042","14","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
043","10","3.000","10.0","20.0","50.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","100
044","14","3.071","7.1","28.6","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
045","14","3.107","7.1","35.7","50.0",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","100
046","14","3.346","7.1","57.1","21.4","7.1",".",".",".",".",".",".",".",".",".","7.1",".","."
"","100
047","12","3.250","25.0","25.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
048","13","3.231",".","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","446","3.176","14.8","40.4","28.0","7.4","6.1","1.8","1.3",".",".",".",".",".",".","0.2",".","."
"","105
001","16","3.250","31.3","31.3","18.8","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","105
002","13","3.500","30.8","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","14","3.536","28.6","57.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","20","3.525","40.0","35.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","105
007","19","3.306","26.3","36.8","10.5","10.5","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","105
008","17","3.531","35.3","41.2","5.9","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","99","3.438","32.3","40.4","13.1","7.1","4.0","1.0",".","2.0",".",".",".",".",".",".",".","."
"Directed Study","199
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
