"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","39","",".",".",".",".",".",".","",".","89.7","",".",".",".","10.3","",".",".",".","."
"Advanced Independent Study","999
048","3","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"PHM SCI
718","Dept. Total","865","3.006","25.0","15.4","23.9","15.0","14.9","1.3","",".","4.0","",".",".",".","0.5","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","7","3.000","42.9","14.3","14.3","14.3",".","14.3","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","44","3.255","56.8","11.4","13.6","13.6","2.3","2.3","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","52","3.220","55.8","11.5","13.5","13.5","1.9","3.8","",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","116","3.877","59.5","5.2","1.7",".",".",".","",".","30.2","",".",".",".","3.4","",".",".",".","."
"Prof Yr 1","","130","2.658","5.4","14.6","23.8","26.2","26.9","3.1","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","379","3.022","21.6","12.1","29.0","17.9","17.9","1.3","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","168","3.140","16.7","31.5","28.6","11.3","11.9",".","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","20","2.817","5.0","15.0","45.0","10.0","25.0",".","",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","697","2.941","16.9","17.4","28.4","17.6","18.4","1.3","",".",".","",".",".",".",".","",".",".",".","."
"","Dept. Total","865","3.006","25.0","15.4","23.9","15.0","14.9","1.3","",".","4.0","",".",".",".","0.5","",".",".",".","."
