"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","134
004","","22","3.412","54.5","9.1","4.5",".",".",".","9.1","18.2","4.5",".",".",".",".",".",".","."
"","005
134","","16","3.654","43.8","25.0","6.3","6.3",".",".",".","12.5",".",".",".",".",".",".","6.3","."
"Relaxation Tech & Exercise","Course Total","","98","3.740","56.1","14.3","3.1","1.0",".",".","2.0","21.4","1.0",".",".",".",".",".","1.0","."
"","138
001","","12","3.389","16.7","25.0","33.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","138
002","","14","3.333","14.3",".",".",".","7.1",".",".","71.4",".",".",".",".","7.1",".",".","."
"","138
003","","16","3.333",".","37.5","18.8",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"","138
004","","15","3.571","13.3","26.7","6.7",".",".",".",".","46.7",".",".",".",".","6.7",".",".","."
"Golf I","Course Total","","57","3.411","10.5","22.8","14.0",".","1.8",".",".","47.4",".",".",".",".","3.5",".",".","."
"","140
001","","20","3.357","35.0","15.0","10.0","5.0",".",".","5.0","25.0","5.0",".",".",".",".",".",".","."
"","140
002","","15","3.571","40.0",".",".",".",".","6.7",".","53.3",".",".",".",".",".",".",".","."
"","140
003","","23","3.600","26.1","8.7","4.3",".","4.3",".",".","56.5",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","58","3.484","32.8","8.6","5.2","1.7","1.7","1.7","1.7","44.8","1.7",".",".",".",".",".",".","."
"Ice Skating II","145
001","","16","3.500","43.8","6.3","12.5","6.3","6.3",".",".","25.0",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","17","3.400","5.9","35.3","17.6",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"","155
001","","19","3.417","5.3","42.1","15.8",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"","155
002","","16","3.850","43.8","18.8",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Badminton I","Course Total","","35","3.614","22.9","31.4","8.6",".",".",".",".","37.1",".",".",".",".",".",".",".","."
"","157
001","","15","3.700","33.3","26.7","6.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","157
002","","26","3.526","15.4","46.2","11.5",".",".",".",".","23.1",".",".",".",".",".","3.8",".","."
"Topics in Fencing","Course Total","","41","3.586","22.0","39.0","9.8",".",".",".",".","26.8",".",".",".",".",".","2.4",".","."
"","162
001","","19","3.750","47.4","15.8","10.5",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"","162
002","","21","3.278","19.0","4.8","9.5",".","9.5",".",".","57.1",".",".",".",".",".",".",".","."
"","162
003","","19","3.063","15.8","21.1","36.8",".","5.3",".","5.3","15.8",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","59","3.359","27.1","13.6","18.6",".","5.1",".","1.7","33.9",".",".",".",".",".",".",".","."
"","001
163","","12","3.833","41.7",".","8.3",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","163
002","","18","3.607","33.3","33.3","5.6","5.6",".",".",".","22.2",".",".",".",".",".",".",".","."
"","163
003","","15","3.667","40.0","26.7","13.3",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","45","3.672","37.8","22.2","8.9","2.2",".",".",".","28.9",".",".",".",".",".",".",".","."
"Basketball I","170
001","","30","3.880","73.3","3.3","3.3","3.3",".",".",".","13.3","3.3",".",".",".",".",".",".","."
"Soccer I","173
001","","27","3.690","37.0","33.3","7.4",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","175
001","","28","3.647","21.4","35.7","3.6",".",".",".",".","39.3",".",".",".",".",".",".",".","."
"","175
002","","25","3.761","60.0","20.0","12.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"","003
175","","31","3.500","38.7","12.9","29.0",".","3.2",".",".","12.9",".",".",".",".","3.2",".",".","."
"Volleyball I","Course Total","","84","3.629","39.3","22.6","15.5",".","1.2",".",".","20.2",".",".",".",".","1.2",".",".","."
"Orienteering","194
001","","12","3.583","75.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","201
001","","19","3.667","26.3","52.6",".",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"","201
002","","22","3.875","54.5","18.2",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","41","3.774","41.5","34.1",".",".",".",".",".","24.4",".",".",".",".",".",".",".","."
"","211
001","","18","3.441","61.1","16.7","5.6",".",".","5.6","5.6","5.6",".",".",".",".",".",".",".","."
"","211
002","","20","3.735","65.0","10.0",".","5.0","5.0",".",".","15.0",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","38","3.588","63.2","13.2","2.6","2.6","2.6","2.6","2.6","10.5",".",".",".",".",".",".",".","."
"Bowling II","227
001","","19","3.250","21.1","21.1","15.8",".",".",".","5.3","36.8",".",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","24","3.200","12.5","20.8","16.7","4.2","8.3",".",".","33.3",".",".",".",".","4.2",".",".","."
