"","990
097","5","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
098","5","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
099","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","117","",".",".",".",".",".",".",".","94.9",".",".",".","3.4","",".",".","1.7","."
"PHYSICS
754","Dept. Total","2626","3.002","21.6","20.0","21.7","14.7","14.9","1.4","1.0","4.3","0.0",".",".","0.2","",".","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","207","2.873","9.7","22.2","30.4","15.9","19.8","0.5","1.4",".",".",".",".",".","",".",".",".","."
"Sophomore","","623","2.993","17.7","22.8","24.2","18.8","14.4","1.4","0.6",".",".",".",".",".","",".",".",".","."
"Junior","","801","2.948","20.7","20.0","22.5","15.6","17.6","1.9","1.5",".",".",".",".",".","",".","0.1","0.1","."
"Senior","","633","2.964","24.5","18.0","20.7","16.4","17.4","1.7","0.9","0.3",".",".",".",".","",".",".",".","."
"Undergraduates","","2264","2.957","19.9","20.4","23.2","16.7","16.9","1.6","1.1","0.1",".",".",".",".","",".","0.0","0.0","."
"Special","","34","3.069","26.5","26.5","20.6","5.9","14.7",".","2.9","2.9",".",".",".",".","",".",".",".","."
"Graduate","","326","3.631","33.1","16.9","11.7","0.9","0.9",".",".","34.0","0.3",".",".","1.2","",".","0.3","0.6","."
"Prof Yr 3","","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","2626","3.002","21.6","20.0","21.7","14.7","14.9","1.4","1.0","4.3","0.0",".",".","0.2","",".","0.1","0.1","."
