"Stdt Tchg-Secondary Sch Art","424
001","","13","3.962","92.3","7.7",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Art-Exceptional Education","570
001","","16","3.656","50.0","43.8",".",".","","6.3",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Independent Reading & Rsch","699
061","","4","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Adv Independent Reading","999
061","","6","3.929","83.3",".","16.7",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"ART ED
176","Dept. Total","","68","3.894","80.9","13.2","4.4","",".","1.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","37","3.853","75.7","18.9","2.7","",".","2.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","38","3.856","76.3","18.4","2.6","",".","2.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","20","3.938","85.0","10.0","5.0","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","10","3.962","90.0",".","10.0","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","68","3.894","80.9","13.2","4.4","",".","1.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
