"MED","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY
144","Dept. Total","763","2.999","34.7","15.2","16.8","11.3","10.1","6.4","2.6","2.4","0.1",".","",".","",".","0.3","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","2.550","10.0","20.0","10.0","30.0","10.0","20.0",".",".",".",".","",".","",".",".",".",".","."
"Sophomore","","151","2.659","22.5","16.6","13.2","13.9","17.2","11.9","4.0",".",".",".","",".","",".","0.7",".",".","."
"Junior","","219","2.903","31.5","12.3","23.3","13.2","8.2","6.8","4.1",".",".",".","",".","",".",".","0.5",".","."
"Senior","","262","3.115","34.7","19.1","18.3","9.9","10.3","3.8","1.9","1.1","0.4",".","",".","",".","0.4",".",".","."
"Undergraduates","","642","2.921","30.4","16.2","18.7","12.3","11.2","7.0","3.1","0.5","0.2",".","",".","",".","0.3","0.2",".","."
"Special","","35","3.199","37.1","20.0","17.1","11.4","8.6","5.7",".",".",".",".","",".","",".",".",".",".","."
"Graduate","","39","3.069","30.8","10.3","5.1","7.7","5.1","5.1",".","35.9",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","10","3.906","90.0","10.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","14","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","22","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","47","3.987","95.7","2.1",".",".",".",".",".","2.1",".",".","",".","",".",".",".",".","."
"","Dept. Total","763","2.999","34.7","15.2","16.8","11.3","10.1","6.4","2.6","2.4","0.1",".","",".","",".","0.3","0.1",".","."
