"LIBRARY & INFORMATION STUD Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Scandinavian Children's Lit","319","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","354","001","","107","3.495","49.5","15.9","14.0","4.7","4.7",".","1.9","8.4",".",".",".",".",".",".",".","0.9"
"","354","002","","6","3.417","66.7",".",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Children's Literature","","Course Total","","113","3.490","50.4","15.0","13.3","5.3","5.3",".","1.8","8.0",".",".",".",".",".",".",".","0.9"
"Organization of Information","551","001","","40","3.963","95.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","561","001","","45","3.591","37.8","42.2","15.6","2.2",".",".",".",".",".",".",".",".",".",".",".","2.2"
"Information Sources","571","001","","57","3.851","71.9","26.3","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","001","","16","3.719","75.0","12.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","620","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","24","3.792","79.2","12.5",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Young Adult Literature","631","001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","640","001","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Telecom&Network Mgmt-Info Sci","644","001","","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","645","001","","19","3.750","47.4","47.4",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","651","001","","38","3.803","60.5","39.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651","002","","9","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"","651","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cataloging & Classification","","Course Total","","48","3.798","58.3","39.6",".",".",".",".",".",".",".",".",".",".",".","2.1",".","."
"Collection Management","655","001","","25","3.840","68.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","712","001","","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Agency Management","754","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","825","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"On-Line Reference&Info Serv","828","001","","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","855","001","","7","3.842","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Architecture","861","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lib&Info User Services","940","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archives: Manuscripts Adm","977","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","8","3.833","62.5",".","12.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","999","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","32","3.958","81.3",".","3.1",".",".",".",".",".",".",".",".",".","12.5","3.1",".","."
