"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","20","2.325","10.0","10.0","15.0","15.0","30.0","15.0","5.0",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","20","3.050","20.0","15.0","35.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","144","3.302","38.2","18.1","30.6","4.9","4.2","2.1","2.1",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","18","2.806","22.2","16.7","27.8","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"360","001","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","7","3.000",".","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","16","3.250","18.8","18.8","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","15","3.233","26.7","40.0","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"371
Mat Sci&Engr Prob Solvng II","001","","12","3.542","16.7","75.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","44","3.607","52.3","25.0","15.9",".","4.5",".",".","2.3",".",".",".",".",".",".",".","."
"401","002","","30","3.467","40.0","26.7","30.0",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","74","3.549","47.3","25.7","21.6",".","2.7","1.4",".","1.4",".",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","25","3.160","20.0","24.0","32.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"445
Multicomponent Phase Equil","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"748
Structural Anal of Matrial","001","","11","3.409","36.4","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","10","",".",".",".",".",".",".",".","70.0",".",".",".",".","30.0",".",".","."
"790","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"803","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 137 of 407",""
