"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"Prod Med III-Appl Dy Nutr","705
001","","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Production Medicine IV","707
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Equine Theriogenology","708
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775
001","","26","",".",".",".",".",".",".",".","96.2",".",".",".",".",".",".","3.8","."
"","775
002","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","53","",".",".",".",".",".",".",".","98.1",".",".",".",".",".",".","1.9","."
