"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Taxation II","840
001","49","3.695","57.1","4.1","20.4","2.0",".",".",".","16.3",".",".",".",".",".",".",".","."
"Unfair Trade Practices","843
001","28","3.571","46.4","25.0","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Trusts&Estates","844
001","10","3.250","30.0","20.0",".","20.0","10.0",".",".","20.0",".",".",".",".",".",".",".","."
"Intro to Environmental Law","848
001","20","3.528","40.0","25.0","20.0",".","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","849
001","45","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","850
001","49","3.277","28.6","12.2","30.6","14.3","6.1",".",".","8.2",".",".",".",".",".",".",".","."
"","850
002","35","3.329","20.0","37.1","37.1",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"","850
003","15","2.933",".","20.0","53.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","99","3.244","21.2","22.2","36.4","10.1","6.1",".",".","4.0",".",".",".",".",".",".",".","."
"","852
001","27","3.593","33.3","51.9","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
003","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
004","14","3.500",".","7.1",".",".",".",".",".","92.9",".",".",".",".",".",".",".","."
"","852
005","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","852
006","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","77","3.694","35.1","28.6","5.2","1.3",".",".",".","29.9",".",".",".",".",".",".",".","."
"","854
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
009","12","",".",".",".",".",".",".",".","91.7",".",".",".",".","8.3",".",".","."
"","854
010","45","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
011","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
012","17","3.643","52.9","17.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","854
013","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Program","Course Total","131","3.646","7.6","2.3","3.8",".",".",".",".","85.5",".",".",".",".","0.8",".",".","."
"Collctv Bargang-Arbtrn Proc","858
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Criminal Procedure","860
001","19","3.605","52.6","26.3","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Institutionalized Persons","862
001","34","",".",".",".",".",".",".",".","94.1",".",".",".",".","5.9",".",".","."
"Taxation III","867
001","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"International Tax","870
001","24","3.848","83.3",".","8.3","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"Legal Iss: N Amer & E Asia","872
001","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","60","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","904
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","904
002","10","3.550","50.0","30.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","904
003","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","27","3.641","51.9","29.6","11.1","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Bioethics and the Law","905
001","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
