"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","139","3.050","20.1","11.5","44.6","12.9","8.6","0.7","1.4",".",".",".",".",".",".",".",".","."
"","300
002","226","3.199","26.5","14.2","42.5","11.5","3.1","1.8","0.4",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","365","3.142","24.1","13.2","43.3","12.1","5.2","1.4","0.8",".",".",".",".",".",".",".",".","."
"","320
001","21","3.150","28.6","9.5","23.8","28.6","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","320
002","39","3.171","17.9","28.2","30.8","15.4","2.6","2.6",".","2.6",".",".",".",".",".",".",".","."
"","320
003","33","3.076","21.2","18.2","36.4","15.2","3.0","6.1",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","93","3.132","21.5","20.4","31.2","18.3","3.2","3.2",".","2.2",".",".",".",".",".",".",".","."
"","325
001","31","3.129","19.4","22.6","29.0","22.6","6.5",".",".",".",".",".",".",".",".",".",".","."
"","325
002","36","3.139","16.7","27.8","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","325
003","36","3.306","27.8","30.6","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","103","3.194","21.4","27.2","29.1","13.6","8.7",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","12","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","7","3.763","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","16","3.469","37.5","18.8","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","536
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","14","3.773","50.0","21.4","7.1",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"Fixd Income&Derivatv Securties","630
001","20","3.474","50.0",".","35.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Security Analysis","635
001","24","3.667","45.8","41.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","33","3.591","42.4","33.3","24.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","40","3.613","45.0","32.5","22.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
001","31","3.516","38.7","25.8","35.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
030","32","3.484","31.3","37.5","28.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","Course Total","63","3.500","34.9","31.7","31.7","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory & Applicatn","721
001","34","3.515","38.2","26.5","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","18","3.472","33.3","27.8","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Valuatn&Corp Investmnt Decisns","726
001","36","3.458","27.8","36.1","36.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate Finance Decisions","727
001","38","3.526","36.8","36.8","23.7",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750
001","19","3.889","78.9","10.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Reading & Research-Finance","799
150","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Investment Theory","820
001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","836
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","836
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","Course Total","12","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 54 of 407"
