"LAFOLLETTE SCHOOL PUB AFF Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","",""
"Ethics&Values-Policy Making","530
001","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
014","15","4.000","6.7",".",".",".",".",".",".","80.0",".",".",".","13.3",".",".",".","."
"","799
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","22","3.906","31.8","4.5",".",".",".",".",".","54.5",".",".",".","9.1",".",".",".","."
"Energy Analysis Seminar","810
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Methods-Public Policy","819
001","23","3.795","56.5","39.1",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Administrative Internship","827
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Internatnl Bus & Gov","841
001","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854
001","17","3.559","41.2","29.4","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pol Econ-Corruptn&Good Governc","857
001","25","3.500","24.0","52.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop, International Issues","860
001","18","3.694","55.6","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshp-Prgm & Policy Analysis","869
001","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Public Program Evaluation","871
001","12","3.682","50.0","25.0","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Intro to Policy Analysis","873
001","27","3.722","51.9","40.7","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","878
001","36","3.819","75.0","13.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Welfare Policy & Mgmt","882
001","12","3.636","25.0","66.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","974
001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
002","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","31","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PUB AFFR
826","Dept. Total","281","3.744","53.4","27.0","8.5","0.4",".",".",".","8.9",".",".",".","0.7","1.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","",""
"Senior","","25","3.642","40.0","40.0","12.0",".",".",".",".",".",".",".",".","8.0",".",".",".","."
"Undergraduates","","25","3.642","40.0","40.0","12.0",".",".",".",".",".",".",".",".","8.0",".",".",".","."
"Special","","9","3.625","44.4","22.2","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Graduate","","233","3.758","55.8","25.3","8.2","0.4",".",".",".","9.4",".",".",".",".","0.9",".",".","."
"Prof Yr 2","","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Prof Yr 3","","7","3.800","42.9","28.6",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"Professionals","","14","3.773","42.9","35.7",".",".",".",".",".","14.3",".",".",".",".","7.1",".",".","."
"","Dept. Total","281","3.744","53.4","27.0","8.5","0.4",".",".",".","8.9",".",".",".","0.7","1.1",".",".","."
