"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","323","3.595","61.6","16.4","14.6","4.6","1.9","",".","0.3","0.6","",".",".","",".","",".","",".",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","3.203","28.6","28.6","31.0","7.1","2.4","",".","2.4",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","91","3.599","67.0","12.1","13.2","4.4","3.3","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","72","3.780","73.6","15.3","8.3","2.8",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","112","3.600","62.5","15.2","14.3","5.4","1.8","",".",".","0.9","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","317","3.593","61.8","16.1","14.8","4.7","1.9","",".","0.3","0.3","",".",".","",".","",".","",".",".",".","."
"Special","","4","3.600","25.0","50.0",".",".",".","",".",".","25.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","College Total","323","3.595","61.6","16.4","14.6","4.6","1.9","",".","0.3","0.6","",".",".","",".","",".","",".",".",".","."
