"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","45","3.989","95.6","2.2",".",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","160
001","21","3.548","52.4","33.3","9.5",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","160
002","22","3.318","31.8","18.2","40.9",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","160
003","18","3.500","50.0","11.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","61","3.451","44.3","21.3","26.2","3.3","3.3",".","1.6",".",".",".",".",".",".",".",".","."
"","170
001","16","3.344","31.3","25.0","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","16","3.375","43.8","6.3","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","20","3.150","25.0","30.0","25.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","52","3.279","32.7","21.2","26.9","15.4","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","149","3.215","26.8","26.8","21.5","16.1","6.7","2.0",".",".",".",".",".",".",".",".",".","."
"","232
001","67","3.007","13.4","23.9","25.4","31.3","4.5",".","1.5",".",".",".",".",".",".",".",".","."
"","232
002","20","2.950","25.0","5.0","30.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","Course Total","87","2.994","16.1","19.5","26.4","27.6","9.2",".","1.1",".",".",".",".",".",".",".",".","."
"","240
001","48","2.594","20.8","8.3","18.8","14.6","22.9","8.3","6.3",".",".",".",".",".",".",".",".","."
"","002
240","52","2.683","21.2","9.6","15.4","19.2","26.9","1.9","5.8",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","100","2.640","21.0","9.0","17.0","17.0","25.0","5.0","6.0",".",".",".",".",".",".",".",".","."
"","291
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","11","3.500","54.5","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","17","3.640","64.7","11.8","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","299
038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","19","3.825","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","22","3.844","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
306","45","2.789","17.8","20.0","22.2","13.3","13.3","11.1","2.2",".",".",".",".",".",".",".",".","."
"","306
002","51","2.657","21.6","11.8","23.5","9.8","15.7","11.8","5.9",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","96","2.719","19.8","15.6","22.9","11.5","14.6","11.5","4.2",".",".",".",".",".",".",".",".","."
"","307
001","10","3.100","10.0","20.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","13","3.077","30.8","7.7","30.8","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"","003
307","11","3.364","45.5","18.2","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","307
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
307","14","3.536","57.1","21.4","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
007","9","2.556","11.1",".","44.4","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"","307
008","11","3.136","9.1","27.3","54.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307
009","14","3.357","42.9","21.4","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","91","3.225","31.9","18.7","30.8","6.6","9.9","1.1","1.1",".",".",".",".",".",".",".",".","."
"","313
001","42","3.190","21.4","38.1","16.7","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","313
002","41","3.317","31.7","34.1","17.1","9.8","4.9",".","2.4",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","83","3.253","26.5","36.1","16.9","12.0","4.8","2.4","1.2",".",".",".",".",".",".",".",".","."
"","314
001","48","3.177","14.6","41.7","22.9","10.4","8.3","2.1",".",".",".",".",".",".",".",".",".","."
"","314
002","43","3.267","30.2","30.2","16.3","14.0","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","91","3.220","22.0","36.3","19.8","12.1","7.7","2.2",".",".",".",".",".",".",".",".",".","."
