"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","8","3.900","62.5","12.5",".",".",".",".",".","12.5",".",".",".","12.5",".",".",".","."
"710
Mathematical Statistics","001","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Survival Anal Thry & Mthds","001","","34","3.545","32.4","41.2","23.5",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"761
Decision Trees-Multivar Anal","001","","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Theory of Probability","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","001","","40","3.684","47.5","35.0","12.5",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"990","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","255","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","39","",".",".",".",".",".",".",".","94.9",".",".",".","5.1",".",".",".","."
"992","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","002","","12","3.953","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","26","3.977","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
