"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","340
001","53","2.896","13.2","17.0","22.6","34.0","11.3","1.9",".",".",".",".",".",".",".",".",".","."
"","002
340","29","2.966","13.8","20.7","37.9","13.8","10.3",".","3.4",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","82","2.921","13.4","18.3","28.0","26.8","11.0","1.2","1.2",".",".",".",".",".",".",".",".","."
"","342
001","22","2.500","22.7","4.5",".","31.8","31.8",".","9.1",".",".",".",".",".",".",".",".","."
"","342
002","44","3.068","15.9","31.8","18.2","22.7","9.1","2.3",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","66","2.879","18.2","22.7","12.1","25.8","16.7","1.5","3.0",".",".",".",".",".",".",".",".","."
"","349
001","9","3.611","44.4","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","349
002","15","3.067",".","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","349
003","17","3.412","29.4","35.3","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","349
004","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
005","17","3.353","11.8","47.1","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
006","17","3.147",".","35.3","58.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","88","3.364","20.5","42.0","29.5","5.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","18","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","54","2.704","11.1","20.4","20.4","20.4","16.7","9.3","1.9",".",".",".",".",".",".",".",".","."
"","002
361","62","3.129","37.1","24.2","12.9","4.8","12.9","3.2","4.8",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","116","2.931","25.0","22.4","16.4","12.1","14.7","6.0","3.4",".",".",".",".",".",".",".",".","."
"","363
001","45","3.100","8.9","31.1","40.0","11.1","8.9",".",".",".",".",".",".",".",".",".",".","."
"","363
002","51","3.167","19.6","39.2","23.5","5.9","3.9","7.8",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","96","3.135","14.6","35.4","31.3","8.3","6.3","4.2",".",".",".",".",".",".",".",".",".","."
"","364
001","61","3.308","36.1","21.3","19.7","9.8","11.5",".",".","1.6",".",".",".",".",".",".",".","."
"","364
002","43","3.256","37.2","9.3","37.2","4.7","9.3","2.3",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","104","3.286","36.5","16.3","26.9","7.7","10.6","1.0",".","1.0",".",".",".",".",".",".",".","."
"Engr Measurements Lab","368
001","81","3.031","16.0","18.5","34.6","19.8","9.9","1.2",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","81","3.000","16.0","18.5","27.2","25.9","12.3",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
001","25","3.400","52.0","12.0","24.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"","418
002","34","3.727","64.7","11.8","20.6",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","418
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","63","3.582","57.1","12.7","22.2","1.6","1.6",".","1.6","1.6",".",".",".",".","1.6",".",".","."
"","419
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","419
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","Course Total","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Conversn Technolgies","421
001","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","8","3.125","12.5","25.0","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
